owner,nftId,merkleAmt
0x2408e836ebfcf135731df4cf357c10a7b65193bf,0,0.1
0x72495d2dd7f0b1efd05ee76a1c582801386a9320,1,8000000
0x68ab805dc4afc0b8701e45cedf8baa937f5cd3f1,2,0
0x68ab805dc4afc0b8701e45cedf8baa937f5cd3f1,3,0
0xd0fe971732e547059ea6009c79a2d6155bdb41a4,4,1562.90623
0x92b39b14aa07c309317ea0c1d5a76b2808ef0ae4,5,1201430.726
0xdd03f927926c9ae1d06b0760535ff10576ce87e3,6,207.63461
0x0e8d670d40f8784c7ebb1f1a67902a6086f5f87c,7,5558.3082
0xd0fe971732e547059ea6009c79a2d6155bdb41a4,8,0
0x72c5cd18a51d53db34072546a7a38a4f73600d92,9,0
0x2e6a27556bf03125b4db4704fcc86247d432365b,10,200.95587
0x259af9a30cd456d0d614e60beb54e15824a85a1b,11,645.28559
0xbaf88b32025aeaefee010013da46098382475ddc,12,1741.60145
0x3714e1078cb6f67ef01442b4213012b16889926f,13,1280390.47
0xce29cec7552ab3c9cf5264ed96081c2804c3ef07,14,3864.7242
0x468c2ede01b07c19d90f6c9b67617d1d7e6e2200,15,25000
0xc24badf40e4687ea6a318fa86e4dea8d7c307626,16,31.9032019
0x00ab97c782c661fb3d08c96dce06176938101211,17,0
0x72c5cd18a51d53db34072546a7a38a4f73600d92,18,0
0x25d8a0d5708bca2130ccb0338e3d564d9827b07a,19,0
0x5f4d787692b0ab325df37e0b999c452d4561a8e6,20,1560.204719
0xc24badf40e4687ea6a318fa86e4dea8d7c307626,21,5000
0x2b01501c2e2e3200e68f1fdc557a10c82bf05626,22,0
0x00ab97c782c661fb3d08c96dce06176938101211,23,0
0xcd7d70bb7034102ee0c828fbb83776e0137dea8d,24,9000
0x92864dcc5595d5693aa64304a19962c5184df7d7,25,10
0x72c5cd18a51d53db34072546a7a38a4f73600d92,26,0
0xa7195c71aa20481fa0c093e51323f8a4d3a2f5d2,27,10
0xc24badf40e4687ea6a318fa86e4dea8d7c307626,28,5000
0x5d5421f657a46ca82d0585f7eaaa7d7717a8d7bc,29,1
0xfa22dc3a2f64ec353d8ce30f798966355b7154b6,30,11.6202462
0x620f9712999f768600f995666775e7a40d151659,31,0
0xc24badf40e4687ea6a318fa86e4dea8d7c307626,32,5000
0xbad30f9f758e4c533fb9cde65fae5154f0430148,33,0
0x708df04e03ac02c440937be6e631fa8b46cb89bc,34,178.9679
0x88023c305b471649d326b7b95149146f4b5308b5,35,0
0x9d0a96a24d9c4033c882a3c4a3c33ced4254581b,36,103.48623
0xdaa8cb6ab1c9affcc012a5a023ef1b79f91c6297,37,494.96478
0xfb7405075f2dd0a2aaca6ca2d87d56e09577d6ef,38,0
0x0a83985e4a6e8dae2b67bed4f2d9268f6806ce00,39,0
0x60fb4b046b07ce529fb93598286339873d26dd0c,40,0
0xfb7405075f2dd0a2aaca6ca2d87d56e09577d6ef,41,0
0xfb7405075f2dd0a2aaca6ca2d87d56e09577d6ef,42,0
0x0b878b6e1b43e4f5ad543a1bfdc8890455aa9a0b,43,0
0xa6a2ad1320cec227f24f404fccc120b71b41757d,44,200
0xc6302894cd030601d5e1f65c8f504c83d5361279,45,1674.59211
0x72c5cd18a51d53db34072546a7a38a4f73600d92,46,0
0x47c465e7beac169081371969c0fcf62d10c84ef7,47,833.46614
0xed2e383243e8c6bcb65870be017bd1104d74b8f2,48,0.33493
0x7c9457a775015eee6e098cb1a4ba6cf9b0fdf3c0,49,0
0x3214e141bdae08be1f382a885cf3d2a448a5e780,50,900
0xa8470d7e5052f64f87db7e5d40ca660cfe339531,51,595.85524
0xacb17fc73cf202ebe532e107cec195d50dee61dd,52,57177.66856
0x88023c305b471649d326b7b95149146f4b5308b5,53,0
0x0962bd7010249356eb89363ce7773c4a53fc97cb,54,0
0x3a1ca7d233b732d50f9da07dd240573c89b7e07c,55,0
0x3a1ca7d233b732d50f9da07dd240573c89b7e07c,56,0
0x6fe797a05359c9d91b1f85d418e2ed4ea6c65a8f,57,0
0x2408e836ebfcf135731df4cf357c10a7b65193bf,58,0.01
0x369606edde71fb6ec43353330796544852bad340,59,0
0x7eb010ee94df76f0310b9abcda8ffc301983d6bf,60,1
0x72c5cd18a51d53db34072546a7a38a4f73600d92,61,0
0xd8bc0f7888b26e1c71ff43b487e8c76871d80eb6,62,773.46819
0x7a4e47a4e99e7d5eb9bb5a619e4475d1dc7b3ab9,63,523.868
0x71b700181b31747f28a7cde2c26b503a2335c0ad,64,0
0x6573948aef66b3eb45f35ab5c7516678f86d7cc2,65,129.7611158
0x14edc2ce4e34d610539543e19dbeac3ea8ac7d11,66,0
0x00001ef108843ab7c937974c54c42360da8f9000,67,1.52044
0x0d0c4d8bc5029e8420e1fab78d1373ea175f4bae,68,0
0x6d5c8b593958ee0cb7ad6ac2531ab1b818186857,69,800
0x6d5c8b593958ee0cb7ad6ac2531ab1b818186857,70,463.97446
0x0d0c4d8bc5029e8420e1fab78d1373ea175f4bae,71,0
0x14edc2ce4e34d610539543e19dbeac3ea8ac7d11,72,0
0xa529dbf959fc80f9db66d990b47eb33e26c416a0,73,0
0xa6a2d935363669ea08723798284bc3fcdc58f9cd,74,0
0x14edc2ce4e34d610539543e19dbeac3ea8ac7d11,75,0
0x708df04e03ac02c440937be6e631fa8b46cb89bc,76,0
0x38476bc1deb12f317cabc3f49fbbb80fbab6f3ec,77,0
0x0c9c3ba64072eb566b0e9a4b6bb0d7b204d68469,78,0
0x38476bc1deb12f317cabc3f49fbbb80fbab6f3ec,79,0
0x7eb010ee94df76f0310b9abcda8ffc301983d6bf,80,1164.79902
0x2b9ec7493e1bbbaa88c0a40c36963920d0a4e386,81,0
0xdaadaf4f2d94cdd4274eecf794c3d5c27f647476,82,268.8615
0x00ab97c782c661fb3d08c96dce06176938101211,83,0
0xa529dbf959fc80f9db66d990b47eb33e26c416a0,84,0
0xf63be97ff407e614f9db7e7ecf8ce1b087b5f644,85,0
0x6bd3b05516cd794ff8ae28648fcdfc930c1abc42,86,0
0x5192fa6618869ffd9fe6230d94b0e4c8f57adcb2,87,10
0x605088609f9ac2f1f4571c4ed57a9318dd381f0a,88,0
0xfb9623855f4fb10152b0e173007b51c98399768e,89,3.1100151
0x47c465e7beac169081371969c0fcf62d10c84ef7,90,0
0x8a87448948625e7ea7822bff2c740c5cf9723d4c,91,72.454
0xcff8097b146dc56f40bdf34e18e0283dd404765f,92,0
0x71b700181b31747f28a7cde2c26b503a2335c0ad,93,0
0x56fed5bb34d8ecae854a58502befe1e1fed679c0,94,253.78137
0xe53d3f2b99fe0ed6c05977bc0547127836f0d78d,95,0
0x56fed5bb34d8ecae854a58502befe1e1fed679c0,96,0
0x9d480d2e3a1a3e5fe678ca8b932b4ca7d1503e2c,97,0
0x56fed5bb34d8ecae854a58502befe1e1fed679c0,98,0
0x0a83985e4a6e8dae2b67bed4f2d9268f6806ce00,99,0
0x821be125973279e5ce5eacf2f9360dcaa9cad53e,100,658.02526
0x755ce5f31617ded6e41d15cc51d8ff642ce10e9d,101,22.32647
0xc12de812ae612b6d514b52d529f97f6acb524c8e,102,0
0x6573948aef66b3eb45f35ab5c7516678f86d7cc2,103,33.7581635
0x9d480d2e3a1a3e5fe678ca8b932b4ca7d1503e2c,104,0
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,105,9522.869795
0x0a83985e4a6e8dae2b67bed4f2d9268f6806ce00,106,0
0xdb2b9d473014d8c6a5e55da92205199457ba6624,107,0
0x64368face21029a646d823c0afcbb4da08ce9b78,108,10
0xbad30f9f758e4c533fb9cde65fae5154f0430148,109,0
0x4b4759c59d003a126abda7f2e1a16fa7dc4f0b29,110,0
0xbad30f9f758e4c533fb9cde65fae5154f0430148,111,0
0xa4a62f7127c644aaef733029e0d052e411fdafb4,112,1341.33307
0xe0a86afb73c0922a50d4a985a25507ecda8a9b51,113,400
0x6c0d470d97ef1f230eef10a5c848afcc8261ed67,114,0.21117
0x5a437400ef10265aaedad47cd3520c885d11514e,115,0
0x5a437400ef10265aaedad47cd3520c885d11514e,116,0
0x352bf5e59a4c1a0e4403278fe5c9189f63afde3c,117,4000
0x5a437400ef10265aaedad47cd3520c885d11514e,118,0
0x0507b3ffe3836ad0f256f3d53b8fa7653e54e2eb,119,102.21451
0x71b700181b31747f28a7cde2c26b503a2335c0ad,120,0
0xc766545ef68b49e5c70f4e04c52a9caf27b9a9a6,121,422.13859
0xa4a62f7127c644aaef733029e0d052e411fdafb4,122,2693.9397
0xc6302894cd030601d5e1f65c8f504c83d5361279,123,0
0x9aae12dd452f78ae8919c2168717e7348392ad11,124,0
0x67dacc258dccc8cbfb493c652ab5170c3cff0ad9,125,0
0xbad30f9f758e4c533fb9cde65fae5154f0430148,126,0
0x2705a3516dd983c81ab7fb17d075c77ff118d510,127,1011.14441
0x58ef5039e1c799c4c2a454fae28a2dee21916e44,128,100.9405177
0x708df04e03ac02c440937be6e631fa8b46cb89bc,129,0
0x6e81417b312917305d12f76fa3b6bd66ffaa75e7,130,0
0x11cae591f2e1f3503ed8d62af85eb92aee2f4046,131,0
0xf63be97ff407e614f9db7e7ecf8ce1b087b5f644,132,0
0x98a529e3488c2d44566881feab335b17b1c3b430,133,5
0xc12de812ae612b6d514b52d529f97f6acb524c8e,134,0
0x0962bd7010249356eb89363ce7773c4a53fc97cb,135,0
0x0962bd7010249356eb89363ce7773c4a53fc97cb,136,0
0x3a39899dc78b7307acd83f51463c853fa79e1b09,137,125.51726
0x0962bd7010249356eb89363ce7773c4a53fc97cb,138,0
0x794b769d5c7e4d66d9a8d1da91e9cb7a94bb18e7,139,28.08997
0xdb2b9d473014d8c6a5e55da92205199457ba6624,140,0
0x2322ac6e94110c5c902ac20cd6d64da07a41a3e8,141,14.1054822
0x816b673bc7cdc2afb886fa3b745bb2c02b9dc8ba,142,0
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,143,16492.79657
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,144,0
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,145,0
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,146,0
0x3a1ca7d233b732d50f9da07dd240573c89b7e07c,147,0
0xe53d3f2b99fe0ed6c05977bc0547127836f0d78d,148,0
0x72c5cd18a51d53db34072546a7a38a4f73600d92,149,0
0x2b01501c2e2e3200e68f1fdc557a10c82bf05626,150,0
0x0b997e226b63fded87673bc8b43ba24477b8147a,151,125
0xc766545ef68b49e5c70f4e04c52a9caf27b9a9a6,152,0
0x4a9b562176bd1da06b3cc265f2710251d5e98290,153,0
0xc860c978ce407b561bcbb9121dd2668a1a229a5a,154,1812.94995
0x5b1b5d7f419c8c26a6ed51b46db09ae6376a82da,155,0
0x71b700181b31747f28a7cde2c26b503a2335c0ad,156,0
0x9d480d2e3a1a3e5fe678ca8b932b4ca7d1503e2c,157,0
0x14edc2ce4e34d610539543e19dbeac3ea8ac7d11,158,0
0x9cab916493d31d1114a1d4f9a497aa886c1506e9,159,5000
0x7eb010ee94df76f0310b9abcda8ffc301983d6bf,160,1271.444426
0xcff8097b146dc56f40bdf34e18e0283dd404765f,161,0
0x7eb010ee94df76f0310b9abcda8ffc301983d6bf,162,1276.178168
0xc24badf40e4687ea6a318fa86e4dea8d7c307626,163,7500
0x657a38e6994cb578351376dcdb077330d00665d6,164,10
0x2a0df2e096d378d3d4149539f4eff1a0a748af92,165,0
0x13d4cabc402153cb35be28fc515cbe1342eb8ea8,166,370.29086
0xbad30f9f758e4c533fb9cde65fae5154f0430148,167,0
0xa6a2ad1320cec227f24f404fccc120b71b41757d,168,22.3344
0xc7067dae9f1feb29f2deffa090dc39ef4881f215,169,0
0x6e81417b312917305d12f76fa3b6bd66ffaa75e7,170,0
0x932c5d4c6826857a0389ed351b56355b54cc49f0,171,4095.17303
0xfa537c114edd1d85a6019222c1c0e90707d2088d,172,0
0xc860c978ce407b561bcbb9121dd2668a1a229a5a,173,591.6674005
0x657a38e6994cb578351376dcdb077330d00665d6,174,292.10831
0x6a5f44d24dca8417db339203d9e07d23321f030b,175,111.64382
0x3a1ca7d233b732d50f9da07dd240573c89b7e07c,176,0
0x3a1ca7d233b732d50f9da07dd240573c89b7e07c,177,0
0x780ad0cfd2292ced8eb44ba4a0ea2f70b4551c8b,178,7000
0x60fb4b046b07ce529fb93598286339873d26dd0c,179,0
0x18200c7033ebefdb98fdcf94769da421a0ff898d,180,20
0xaed826444cb27dc08c38a28ef97c5942f9c9123e,181,0
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,182,0
0xabbf75a59ac8838fa46bd5260501b68ab28b95f6,183,0
0x69b0c84ce54b61b2861867fedb9fa9ff8617d40a,184,1.0407
0x2b9ec7493e1bbbaa88c0a40c36963920d0a4e386,185,0
0x6c2693f5a936f37ed03cfa8465bf2d8beff19a0f,186,100
0x46c4c4781fbcbd501e11ef8d87180c44026a3ec5,187,10
0xae5328c6a42b7a77fd0e3c910ee5470fe37302c0,188,0
0xf712ab8c4505eb4b36a2ff9fa746470be81e6538,189,500
0x2d9b54a0c8768f8343f54c37594e35d7e69b8e3f,190,117.72865
0x7adfccfd3691a99530f632eec3dc480419addd7d,191,719.88046
0x64368face21029a646d823c0afcbb4da08ce9b78,192,0
0x6573948aef66b3eb45f35ab5c7516678f86d7cc2,193,57.1750153
0x6b9e4f287d44cea39cd8ccedaa42488617aa21a7,194,1649.35445
0x49a3aab8ebe80725646937b9e9f6f8b4e9867bfe,195,2253.5
0x71b700181b31747f28a7cde2c26b503a2335c0ad,196,0
0x29dfa3b040a65ee3fc0da515343c18cdd49c635f,197,0
0xe5656d9cf64ff41ceb7e26e819d70df8b66d1595,198,1197
0xdb2b9d473014d8c6a5e55da92205199457ba6624,199,0
0x82ab77185a80a5b74c92d679a02b28b115f21962,200,0
0x352bf5e59a4c1a0e4403278fe5c9189f63afde3c,201,22.5
0x1a6b4006fb0ae3d0404228221fc77cd03d95d347,202,0
0x887e8b6119b38c60cb03cab204c0a704c6e0a473,203,0
0x0bda0f33311e65379461d0a555bbd7669c0eaa22,204,0
0x7a4d255e48646bbc5bdc1378eb5011ebf47f713a,205,178.26225
0xbad30f9f758e4c533fb9cde65fae5154f0430148,206,0
0x58ef5039e1c799c4c2a454fae28a2dee21916e44,207,4845.980322
0x0b878b6e1b43e4f5ad543a1bfdc8890455aa9a0b,208,0
0x51d18e5f6fa6534bb2fbaaf90fd6f3336327fd16,209,0
0xab99c070540ce0aa4c7b978584a6edfca5af37ce,210,4005.91394
0xc9f7113042615ce4796f8cbbfa6f42170d908e05,211,10
0xa7eef766b1f3f3d31a0c7c6ebd0b3f31e9a87634,212,0
0xc9f7113042615ce4796f8cbbfa6f42170d908e05,213,1949.93486
0x11cae591f2e1f3503ed8d62af85eb92aee2f4046,214,0
0x0422211c02fef3f623b1da67a116482b029d8bca,215,1882.46862
0x5f71cd2e7fab7a8d976bd07003ebbfeecb2b9fe2,216,10.0809099
0xb119efdabf71e3b38cdfa393af50e972a1149e89,217,91
0x72c5cd18a51d53db34072546a7a38a4f73600d92,218,0
0xa762e2e666e70da57fb27d48dcf16b64535cb170,219,138.6041515
0x9ad92f7f5ef6f4bff83c2e10298a927f0ad7952a,220,58
0x76c2cd1b8a249f465f8445c455cb78e0eed36f1e,221,14769.5
0xf10fb2fd902cbeb9bccef76cc9f4756eff76c92c,222,0
0x9ad92f7f5ef6f4bff83c2e10298a927f0ad7952a,223,12.5
0x59d2e0a2be0db463c36038a5fd2535f58ab3b38f,224,68.41763
0xb119efdabf71e3b38cdfa393af50e972a1149e89,225,1712.5
0x7495f82f53f151decf4fe96eabae4f395ae3e2c8,226,15533.36532
